corpus,file,method,block_size,original_bytes,encoded_bytes,ratio,encode_seconds
silesia_sample,mr,asbx_fixed_zero_trim,256,65536,50009,0.7630767822265625,0.007249000016599894
silesia_sample,mr,asbx_fixed_one_gaps,256,65536,46132,0.70391845703125,0.3214658999349922
silesia_sample,mr,asbx_fixed_zero_gaps,256,65536,65545,1.0001373291015625,0.8135951000731438
silesia_sample,mr,zlib_9,,65536,17098,0.260894775390625,0.019485399941913784
silesia_sample,mr,bzip2_9,,65536,13380,0.20416259765625,0.005535600008442998
silesia_sample,mr,lzma_9,,65536,13416,0.2047119140625,0.058395099942572415
silesia_sample,nci,asbx_oracle,256,65536,65545,1.0001373291015625,0.6103902999311686
silesia_sample,nci,asbx_deterministic,256,65536,65545,1.0001373291015625,0.07076829997822642
silesia_sample,nci,asbx_fixed_raw,256,65536,65545,1.0001373291015625,0.0018443000735715032
silesia_sample,nci,asbx_fixed_zero,256,65536,65545,1.0001373291015625,0.002680799923837185
silesia_sample,nci,asbx_fixed_zero_trim,256,65536,65545,1.0001373291015625,0.004555299994535744
silesia_sample,nci,asbx_fixed_one_gaps,256,65536,65545,1.0001373291015625,0.3431968000950292
silesia_sample,nci,asbx_fixed_zero_gaps,256,65536,65545,1.0001373291015625,0.8667870999779552
silesia_sample,nci,zlib_9,,65536,4842,0.073883056640625,0.005729699973016977
silesia_sample,nci,bzip2_9,,65536,3832,0.0584716796875,0.014175100019201636
silesia_sample,nci,lzma_9,,65536,3964,0.06048583984375,0.05785480001941323
silesia_sample,ooffice,asbx_oracle,256,65536,63367,0.9669036865234375,0.5255748999770731
silesia_sample,ooffice,asbx_deterministic,256,65536,63450,0.968170166015625,0.07876190007664263
silesia_sample,ooffice,asbx_fixed_raw,256,65536,65545,1.0001373291015625,0.0026119000976905227
silesia_sample,ooffice,asbx_fixed_zero,256,65536,63488,0.96875,0.0010816000867635012
silesia_sample,ooffice,asbx_fixed_zero_trim,256,65536,63473,0.9685211181640625,0.002765699988231063
silesia_sample,ooffice,asbx_fixed_one_gaps,256,65536,63430,0.967864990234375,0.42905030003748834
silesia_sample,ooffice,asbx_fixed_zero_gaps,256,65536,65545,1.0001373291015625,0.6851834000553936
silesia_sample,ooffice,zlib_9,,65536,32274,0.492462158203125,0.006805400014854968
silesia_sample,ooffice,bzip2_9,,65536,31838,0.485809326171875,0.007531900075264275
silesia_sample,ooffice,lzma_9,,65536,28488,0.4346923828125,0.05336300004273653
silesia_sample,osdb,asbx_oracle,256,65536,65545,1.0001373291015625,0.5245864999014884
silesia_sample,osdb,asbx_deterministic,256,65536,65545,1.0001373291015625,0.0712807000381872
silesia_sample,osdb,asbx_fixed_raw,256,65536,65545,1.0001373291015625,0.0024151999969035387
silesia_sample,osdb,asbx_fixed_zero,256,65536,65545,1.0001373291015625,0.0012861000141128898
silesia_sample,osdb,asbx_fixed_zero_trim,256,65536,65545,1.0001373291015625,0.0034374999813735485
silesia_sample,osdb,asbx_fixed_one_gaps,256,65536,65545,1.0001373291015625,0.4511105999117717
silesia_sample,osdb,asbx_fixed_zero_gaps,256,65536,65545,1.0001373291015625,0.583326100022532
silesia_sample,osdb,zlib_9,,65536,27475,0.4192352294921875,0.0032438000198453665
silesia_sample,osdb,bzip2_9,,65536,26823,0.4092864990234375,0.00732660002540797
silesia_sample,osdb,lzma_9,,65536,24824,0.3787841796875,0.05215110001154244
silesia_sample,reymont,asbx_oracle,256,65536,65545,1.0001373291015625,0.519731100066565
silesia_sample,reymont,asbx_deterministic,256,65536,65545,1.0001373291015625,0.07873780000954866
silesia_sample,reymont,asbx_fixed_raw,256,65536,65545,1.0001373291015625,0.0021012999350205064
silesia_sample,reymont,asbx_fixed_zero,256,65536,65545,1.0001373291015625,0.0012700000079348683
silesia_sample,reymont,asbx_fixed_zero_trim,256,65536,65545,1.0001373291015625,0.0024913999950513244
silesia_sample,reymont,asbx_fixed_one_gaps,256,65536,65545,1.0001373291015625,0.42792139993980527
silesia_sample,reymont,asbx_fixed_zero_gaps,256,65536,65545,1.0001373291015625,0.5050746999913827
silesia_sample,reymont,zlib_9,,65536,18583,0.2835540771484375,0.011179900029674172
silesia_sample,reymont,bzip2_9,,65536,14957,0.2282257080078125,0.006340799969621003
silesia_sample,reymont,lzma_9,,65536,16768,0.255859375,0.05452549993060529
silesia_sample,samba,asbx_oracle,256,65536,61945,0.9452056884765625,0.5028942000353709
silesia_sample,samba,asbx_deterministic,256,65536,61945,0.9452056884765625,0.08447829994838685
silesia_sample,samba,asbx_fixed_raw,256,65536,65545,1.0001373291015625,0.0031559999333694577
silesia_sample,samba,asbx_fixed_zero,256,65536,65545,1.0001373291015625,0.00167559995315969
silesia_sample,samba,asbx_fixed_zero_trim,256,65536,61951,0.9452972412109375,0.0043258999940007925
silesia_sample,samba,asbx_fixed_one_gaps,256,65536,64156,0.97894287109375,0.43330329994205385
