domain,dataset,file,transform,downstream_codec,original_bytes,transform_bytes,final_bytes,final_ratio,transform_encode_seconds,downstream_encode_seconds,downstream_decode_seconds,transform_decode_seconds
grayscale_image_tensor,mnist,mnist_test_005.img,asbx_oracle,lzma_9,784016,510539,160968,0.20531213648701047,3.873562299995683,0.2246084000216797,0.010456999996677041,0.0839569999370724
grayscale_image_tensor,mnist,mnist_test_006.img,raw,zlib_9,784016,784016,161071,0.20544351135691108,1.2998934835195541e-06,0.22469760000240058,0.002024900051765144,6.140000186860561e-05
grayscale_image_tensor,mnist,mnist_test_006.img,raw,bzip2_9,784016,784016,143687,0.1832704944797045,1.2998934835195541e-06,0.019297100021503866,0.011865600012242794,0.00010559998918324709
grayscale_image_tensor,mnist,mnist_test_006.img,raw,lzma_9,784016,784016,140580,0.1793075651517316,1.2998934835195541e-06,0.24789280002005398,0.010370899923145771,0.0002074000658467412
grayscale_image_tensor,mnist,mnist_test_006.img,asbx_deterministic,zlib_9,784016,514818,173154,0.22085518662884432,0.6794570999918506,0.2196616999572143,0.0019174000481143594,0.042998300050385296
grayscale_image_tensor,mnist,mnist_test_006.img,asbx_deterministic,bzip2_9,784016,514818,156072,0.19906736597212302,0.6794570999918506,0.020951100043021142,0.012608999968506396,0.04065099998842925
grayscale_image_tensor,mnist,mnist_test_006.img,asbx_deterministic,lzma_9,784016,514818,155092,0.1978173914818065,0.6794570999918506,0.23315830004867166,0.009995699976570904,0.07709209993481636
grayscale_image_tensor,mnist,mnist_test_006.img,asbx_oracle,zlib_9,784016,505547,178296,0.22741372625048467,3.8154820000054315,0.262522800010629,0.0020432999590411782,0.09588679997250438
grayscale_image_tensor,mnist,mnist_test_006.img,asbx_oracle,bzip2_9,784016,505547,160922,0.20525346421501603,3.8154820000054315,0.022425799979828298,0.015043499995954335,0.09614389995113015
grayscale_image_tensor,mnist,mnist_test_006.img,asbx_oracle,lzma_9,784016,505547,159912,0.20396522519948573,3.8154820000054315,0.22846389992628247,0.009780400083400309,0.09050209994893521
grayscale_image_tensor,mnist,mnist_test_007.img,raw,zlib_9,784016,784016,163808,0.2089345115405808,1.400010660290718e-06,0.23855360003653914,0.0024693000596016645,7.099995855242014e-05
grayscale_image_tensor,mnist,mnist_test_007.img,raw,bzip2_9,784016,784016,144780,0.18466459868165955,1.400010660290718e-06,0.020471600000746548,0.013022999977692962,6.869994103908539e-05
grayscale_image_tensor,mnist,mnist_test_007.img,raw,lzma_9,784016,784016,142916,0.18228709618171057,1.400010660290718e-06,0.24523899995256215,0.011564499931409955,0.00014510005712509155
grayscale_image_tensor,mnist,mnist_test_007.img,asbx_deterministic,zlib_9,784016,515384,174351,0.22238194118487378,0.6919322999892756,0.20474039996042848,0.00207140005659312,0.03234190004877746
grayscale_image_tensor,mnist,mnist_test_007.img,asbx_deterministic,bzip2_9,784016,515384,156087,0.1990864982347299,0.6919322999892756,0.018785999971441925,0.01656160003039986,0.031167499953880906
grayscale_image_tensor,mnist,mnist_test_007.img,asbx_deterministic,lzma_9,784016,515384,155996,0.1989704291749148,0.6919322999892756,0.2184243000810966,0.010223900084383786,0.03470809990540147
grayscale_image_tensor,mnist,mnist_test_007.img,asbx_oracle,zlib_9,784016,508342,178631,0.22784101344870514,4.0559440000215545,0.21520440001040697,0.002494199899956584,0.06850120006129146
grayscale_image_tensor,mnist,mnist_test_007.img,asbx_oracle,bzip2_9,784016,508342,159415,0.20333130956511092,4.0559440000215545,0.022140000015497208,0.012597399996593595,0.068576900055632
grayscale_image_tensor,mnist,mnist_test_007.img,asbx_oracle,lzma_9,784016,508342,159988,0.20406216199669394,4.0559440000215545,0.21224939997773618,0.01005559996701777,0.06785899994429201
grayscale_image_tensor,mnist,mnist_test_008.img,raw,zlib_9,784016,784016,164767,0.2101577008632477,1.200009137392044e-06,0.22763510001823306,0.002841499983333051,9.820004925131798e-05
grayscale_image_tensor,mnist,mnist_test_008.img,raw,bzip2_9,784016,784016,144916,0.18483806452929533,1.200009137392044e-06,0.018451599986292422,0.010924599948339164,0.00014160003047436476
grayscale_image_tensor,mnist,mnist_test_008.img,raw,lzma_9,784016,784016,143032,0.18243505234587049,1.200009137392044e-06,0.2290121999103576,0.009523499989882112,0.00011699995957314968
grayscale_image_tensor,mnist,mnist_test_008.img,asbx_deterministic,zlib_9,784016,517934,174646,0.22275820901614252,0.5791263999417424,0.19536319992039353,0.0018152999691665173,0.02455620002001524
grayscale_image_tensor,mnist,mnist_test_008.img,asbx_deterministic,bzip2_9,784016,517934,155757,0.19866558845737842,0.5791263999417424,0.01885790005326271,0.011841999948956072,0.025841199909336865
grayscale_image_tensor,mnist,mnist_test_008.img,asbx_deterministic,lzma_9,784016,517934,155452,0.19827656578437175,0.5791263999417424,0.2200979000190273,0.010810200008563697,0.024632500018924475
grayscale_image_tensor,mnist,mnist_test_008.img,asbx_oracle,zlib_9,784016,511713,178716,0.22794942960347747,3.6893729999428615,0.19940069993026555,0.0021645999513566494,0.05399709998164326
grayscale_image_tensor,mnist,mnist_test_008.img,asbx_oracle,bzip2_9,784016,511713,158830,0.20258515132344238,3.6893729999428615,0.01910539995878935,0.012501499964855611,0.058387800003401935
grayscale_image_tensor,mnist,mnist_test_008.img,asbx_oracle,lzma_9,784016,511713,159352,0.203250954062162,3.6893729999428615,0.19152479991316795,0.009426300064660609,0.05308910005260259
grayscale_image_tensor,mnist,mnist_test_009.img,raw,zlib_9,784016,784016,166465,0.21232347299034712,6.998889148235321e-07,0.22341710003092885,0.002075499971397221,0.00010130007285624743
grayscale_image_tensor,mnist,mnist_test_009.img,raw,bzip2_9,784016,784016,148635,0.18958159017162915,6.998889148235321e-07,0.01833360001910478,0.011570400092750788,0.00011599995195865631
grayscale_image_tensor,mnist,mnist_test_009.img,raw,lzma_9,784016,784016,146364,0.18668496561294667,6.998889148235321e-07,0.21440980001352727,0.00938160007353872,0.00017959997057914734
grayscale_image_tensor,mnist,mnist_test_009.img,asbx_deterministic,zlib_9,784016,512617,178048,0.22709740617538418,0.6844503999454901,0.21389889996498823,0.0019786000484600663,0.041747599956579506
grayscale_image_tensor,mnist,mnist_test_009.img,asbx_deterministic,bzip2_9,784016,512617,160782,0.20507489643068508,0.6844503999454901,0.021671899943612516,0.014604000025428832,0.036113500013016164
grayscale_image_tensor,mnist,mnist_test_009.img,asbx_deterministic,lzma_9,784016,512617,160708,0.20498051060182446,0.6844503999454901,0.20227680006064475,0.010264200042001903,0.03493059996981174
grayscale_image_tensor,mnist,mnist_test_009.img,asbx_oracle,zlib_9,784016,503789,183084,0.23352074447460255,4.049163899966516,0.2238560999976471,0.00180460000410676,0.08095840003807098
grayscale_image_tensor,mnist,mnist_test_009.img,asbx_oracle,bzip2_9,784016,503789,164589,0.20993066468031266,4.049163899966516,0.022534399991855025,0.013129099970683455,0.08102949999738485
grayscale_image_tensor,mnist,mnist_test_009.img,asbx_oracle,lzma_9,784016,503789,165264,0.21079161649762249,4.049163899966516,0.23924779996741563,0.011091600055806339,0.09628940001130104
grayscale_image_tensor,fashion_mnist,fashion_mnist_test_000.img,raw,zlib_9,784016,784016,440017,0.5612347196995979,2.00001522898674e-06,0.2614389000227675,0.0033593999687582254,8.739996701478958e-05
grayscale_image_tensor,fashion_mnist,fashion_mnist_test_000.img,raw,bzip2_9,784016,784016,406591,0.5186003857064142,2.00001522898674e-06,0.04291159997228533,0.052433299948461354,0.00018660002388060093
grayscale_image_tensor,fashion_mnist,fashion_mnist_test_000.img,raw,lzma_9,784016,784016,379744,0.4843574620926104,2.00001522898674e-06,0.2916366000426933,0.022793999989517033,0.00013299996498972178
grayscale_image_tensor,fashion_mnist,fashion_mnist_test_000.img,asbx_deterministic,zlib_9,784016,694619,449745,0.5736426297422501,0.5731006999267265,0.2542117000557482,0.0034924999345093966,0.01793610001914203
grayscale_image_tensor,fashion_mnist,fashion_mnist_test_000.img,asbx_deterministic,bzip2_9,784016,694619,414776,0.5290402236689047,0.5731006999267265,0.05513400002382696,0.027512499946169555,0.017317899968475103
grayscale_image_tensor,fashion_mnist,fashion_mnist_test_000.img,asbx_deterministic,lzma_9,784016,694619,392948,0.5011989551233649,0.5731006999267265,0.2544724999461323,0.023601599968969822,0.017465800046920776
grayscale_image_tensor,fashion_mnist,fashion_mnist_test_000.img,asbx_oracle,zlib_9,784016,690897,453349,0.5782394747045979,4.035009799990803,0.24112000002060086,0.003064700053073466,0.03219169995281845
grayscale_image_tensor,fashion_mnist,fashion_mnist_test_000.img,asbx_oracle,bzip2_9,784016,690897,417401,0.5323883696251097,4.035009799990803,0.0449328999966383,0.0299343999940902,0.033247199957259
grayscale_image_tensor,fashion_mnist,fashion_mnist_test_000.img,asbx_oracle,lzma_9,784016,690897,396420,0.5056274361747719,4.035009799990803,0.24905410001520067,0.02290400001220405,0.029810299980454147
grayscale_image_tensor,fashion_mnist,fashion_mnist_test_001.img,raw,zlib_9,784016,784016,437583,0.5581301912205874,1.200009137392044e-06,0.2717519999714568,0.0030086999759078026,7.840001489967108e-05
grayscale_image_tensor,fashion_mnist,fashion_mnist_test_001.img,raw,bzip2_9,784016,784016,404538,0.5159818166976184,1.200009137392044e-06,0.046511400025337934,0.03711150004528463,0.00017609994392842054
grayscale_image_tensor,fashion_mnist,fashion_mnist_test_001.img,raw,lzma_9,784016,784016,377572,0.4815871104671333,1.200009137392044e-06,0.239116600016132,0.02364929998293519,0.00011589995119720697
grayscale_image_tensor,fashion_mnist,fashion_mnist_test_001.img,asbx_deterministic,zlib_9,784016,688292,447430,0.5706898838799208,0.5581321000354365,0.24324530002195388,0.003042500000447035,0.01799129997380078
grayscale_image_tensor,fashion_mnist,fashion_mnist_test_001.img,asbx_deterministic,bzip2_9,784016,688292,413075,0.5268706250892838,0.5581321000354365,0.04395230009686202,0.04225229995790869,0.01819239999167621
grayscale_image_tensor,fashion_mnist,fashion_mnist_test_001.img,asbx_deterministic,lzma_9,784016,688292,390892,0.4985765596620477,0.5581321000354365,0.2217710999539122,0.024088399950414896,0.018753399956040084
grayscale_image_tensor,fashion_mnist,fashion_mnist_test_001.img,asbx_oracle,zlib_9,784016,684214,451021,0.5752701475480092,3.802799400058575,0.23187139991205186,0.00259119994007051,0.031019599991850555
grayscale_image_tensor,fashion_mnist,fashion_mnist_test_001.img,asbx_oracle,bzip2_9,784016,684214,415955,0.5305440195098059,3.802799400058575,0.04117260000202805,0.02885689993854612,0.029809199972078204
