split,scenario,file,method,block_size,original_bytes,encoded_bytes,ratio,encode_seconds,decode_seconds
train,sparse_bits_01,sparse_bits_01.bin,fixed_zero,256,32768,32777,1.000274658203125,0.000726899947039783,8.299946784973145e-06
train,sparse_bits_01,sparse_bits_01.bin,fixed_zero_trim,256,32768,30629,0.934722900390625,0.0031193000031635165,0.0012073999969288707
train,sparse_bits_01,sparse_bits_01.bin,fixed_one_gaps,256,32768,3995,0.121917724609375,0.08622319996356964,0.00839329999871552
train,sparse_bits_01,sparse_bits_01.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.46035619999747723,2.4699955247342587e-05
train,zero_blocks_75,zero_blocks_75.bin,oracle,256,32768,9777,0.298370361328125,0.2968695000745356,0.0007351000094786286
train,zero_blocks_75,zero_blocks_75.bin,deterministic,256,32768,9777,0.298370361328125,0.038545799907296896,0.0007612999761477113
train,zero_blocks_75,zero_blocks_75.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0014006999554112554,2.589996438473463e-05
train,zero_blocks_75,zero_blocks_75.bin,fixed_zero,256,32768,9777,0.298370361328125,0.0015932999085634947,0.0007132000755518675
train,zero_blocks_75,zero_blocks_75.bin,fixed_zero_trim,256,32768,10053,0.306793212890625,0.006244300049729645,0.0010707000037655234
train,zero_blocks_75,zero_blocks_75.bin,fixed_one_gaps,256,32768,9869,0.301177978515625,0.14463490003254265,0.0011354000307619572
train,zero_blocks_75,zero_blocks_75.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.44977449998259544,4.7600013203918934e-05
validation,all_one,all_one.bin,oracle,256,32768,653,0.019927978515625,0.35871020006015897,0.0017012999160215259
validation,all_one,all_one.bin,deterministic,256,32768,653,0.019927978515625,0.11906120006460696,0.0009398999391123652
validation,all_one,all_one.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0011938000097870827,1.0899966582655907e-05
validation,all_one,all_one.bin,fixed_zero,256,32768,32777,1.000274658203125,0.0005525999004021287,7.200054824352264e-06
validation,all_one,all_one.bin,fixed_zero_trim,256,32768,32777,1.000274658203125,0.0009260000661015511,5.400041118264198e-06
validation,all_one,all_one.bin,fixed_one_gaps,256,32768,32777,1.000274658203125,0.45199710002634674,1.650000922381878e-05
validation,all_one,all_one.bin,fixed_zero_gaps,256,32768,653,0.019927978515625,0.06542559992522001,0.0007608000887557864
validation,all_zero,all_zero.bin,oracle,256,32768,525,0.016021728515625,0.2627299999585375,0.0006645000539720058
validation,all_zero,all_zero.bin,deterministic,256,32768,525,0.016021728515625,0.038258699933066964,0.0004130000015720725
validation,all_zero,all_zero.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0010207000887021422,8.399947546422482e-06
validation,all_zero,all_zero.bin,fixed_zero,256,32768,525,0.016021728515625,0.0013318998971953988,0.0004608000162988901
validation,all_zero,all_zero.bin,fixed_zero_trim,256,32768,909,0.027740478515625,0.007331399945542216,0.0010769999353215098
validation,all_zero,all_zero.bin,fixed_one_gaps,256,32768,653,0.019927978515625,0.05938840005546808,0.000761799979954958
validation,all_zero,all_zero.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.5088614999549463,2.2900057956576347e-05
validation,boundary_zeros,boundary_zeros.bin,oracle,256,32768,16764,0.5115966796875,0.332770699984394,0.0012604999355971813
validation,boundary_zeros,boundary_zeros.bin,deterministic,256,32768,16787,0.512298583984375,0.04775839997455478,0.0013047000393271446
validation,boundary_zeros,boundary_zeros.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0014438999351114035,1.6300007700920105e-05
validation,boundary_zeros,boundary_zeros.bin,fixed_zero,256,32768,32777,1.000274658203125,0.0008951000636443496,1.4100107364356518e-05
validation,boundary_zeros,boundary_zeros.bin,fixed_zero_trim,256,32768,16764,0.5115966796875,0.007035200018435717,0.0011811999138444662
validation,boundary_zeros,boundary_zeros.bin,fixed_one_gaps,256,32768,31752,0.968994140625,0.19542160001583397,0.006948400055989623
validation,boundary_zeros,boundary_zeros.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.4201733999652788,1.7900019884109497e-05
validation,clustered_bits,clustered_bits.bin,oracle,256,32768,5268,0.1607666015625,0.34875859995372593,0.003575199982151389
validation,clustered_bits,clustered_bits.bin,deterministic,256,32768,5272,0.160888671875,0.0613632999593392,0.0033928999910131097
validation,clustered_bits,clustered_bits.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0014235000126063824,1.880002673715353e-05
validation,clustered_bits,clustered_bits.bin,fixed_zero,256,32768,21085,0.643463134765625,0.0012824001023545861,0.0007612999761477113
validation,clustered_bits,clustered_bits.bin,fixed_zero_trim,256,32768,6353,0.193878173828125,0.008686200017109513,0.0012537000002339482
validation,clustered_bits,clustered_bits.bin,fixed_one_gaps,256,32768,9382,0.28631591796875,0.10424230003263801,0.017486899974755943
validation,clustered_bits,clustered_bits.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.5669113000622019,3.7100049667060375e-05
validation,dense_bits_99,dense_bits_99.bin,oracle,256,32768,3966,0.12103271484375,0.3670200000051409,0.007275999989360571
validation,dense_bits_99,dense_bits_99.bin,deterministic,256,32768,3966,0.12103271484375,0.13807320001069456,0.00733689998742193
validation,dense_bits_99,dense_bits_99.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0012387000024318695,1.3200100511312485e-05
validation,dense_bits_99,dense_bits_99.bin,fixed_zero,256,32768,32777,1.000274658203125,0.0007160999812185764,7.79994297772646e-06
validation,dense_bits_99,dense_bits_99.bin,fixed_zero_trim,256,32768,32777,1.000274658203125,0.0017334999283775687,1.0300078429281712e-05
validation,dense_bits_99,dense_bits_99.bin,fixed_one_gaps,256,32768,32777,1.000274658203125,0.5645115999504924,1.2499978765845299e-05
validation,dense_bits_99,dense_bits_99.bin,fixed_zero_gaps,256,32768,3966,0.12103271484375,0.08883629995398223,0.0064622999634593725
validation,random,random.bin,oracle,256,32768,32777,1.000274658203125,0.30046880000736564,1.98000343516469e-05
validation,random,random.bin,deterministic,256,32768,32777,1.000274658203125,0.042423299979418516,2.9699993319809437e-05
validation,random,random.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0012447000481188297,1.2299977242946625e-05
validation,random,random.bin,fixed_zero,256,32768,32777,1.000274658203125,0.0006488000508397818,9.800074622035027e-06
validation,random,random.bin,fixed_zero_trim,256,32768,32777,1.000274658203125,0.0015566999791190028,1.0500079952180386e-05
validation,random,random.bin,fixed_one_gaps,256,32768,32777,1.000274658203125,0.2974248999962583,1.6300007700920105e-05
validation,random,random.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.2840132999699563,1.8200022168457508e-05
validation,sparse_bits_001,sparse_bits_001.bin,oracle,256,32768,1068,0.0325927734375,0.29797420010436326,0.0017519000684842467
validation,sparse_bits_001,sparse_bits_001.bin,deterministic,256,32768,1108,0.0338134765625,0.07774840004276484,0.0017083000857383013
validation,sparse_bits_001,sparse_bits_001.bin,fixed_raw,256,32768,32777,1.000274658203125,0.001434899982996285,1.2999982573091984e-05
validation,sparse_bits_001,sparse_bits_001.bin,fixed_zero,256,32768,28795,0.878753662109375,0.001005499972961843,0.000699399970471859
validation,sparse_bits_001,sparse_bits_001.bin,fixed_zero_trim,256,32768,9693,0.295806884765625,0.00739909999538213,0.0012013999512419105
validation,sparse_bits_001,sparse_bits_001.bin,fixed_one_gaps,256,32768,1086,0.03314208984375,0.07415799994487315,0.0018474999815225601
validation,sparse_bits_001,sparse_bits_001.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.487065099994652,1.0800082236528397e-05
validation,sparse_bits_01,sparse_bits_01.bin,oracle,256,32768,3914,0.11944580078125,0.3072736000176519,0.006613900070078671
validation,sparse_bits_01,sparse_bits_01.bin,deterministic,256,32768,3914,0.11944580078125,0.12259170005563647,0.005608999985270202
validation,sparse_bits_01,sparse_bits_01.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0013096999609842896,1.8000020645558834e-05
validation,sparse_bits_01,sparse_bits_01.bin,fixed_zero,256,32768,32777,1.000274658203125,0.0007729000644758344,1.2999982573091984e-05
validation,sparse_bits_01,sparse_bits_01.bin,fixed_zero_trim,256,32768,30661,0.935699462890625,0.003507500048726797,0.0015569999814033508
validation,sparse_bits_01,sparse_bits_01.bin,fixed_one_gaps,256,32768,3914,0.11944580078125,0.07294500002171844,0.006340899970382452
validation,sparse_bits_01,sparse_bits_01.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.49183509999420494,4.0499959141016006e-05
validation,zero_blocks_75,zero_blocks_75.bin,oracle,256,32768,7721,0.235626220703125,0.27957839996088296,0.0010424000211060047
validation,zero_blocks_75,zero_blocks_75.bin,deterministic,256,32768,7721,0.235626220703125,0.04111539991572499,0.0005840000230818987
validation,zero_blocks_75,zero_blocks_75.bin,fixed_raw,256,32768,32777,1.000274658203125,0.001028900034725666,8.199946023523808e-06
validation,zero_blocks_75,zero_blocks_75.bin,fixed_zero,256,32768,7721,0.235626220703125,0.0014544000150635839,0.0008150999201461673
validation,zero_blocks_75,zero_blocks_75.bin,fixed_zero_trim,256,32768,8021,0.244781494140625,0.01063949998933822,0.0007118999492377043
validation,zero_blocks_75,zero_blocks_75.bin,fixed_one_gaps,256,32768,7821,0.238677978515625,0.1065216000424698,0.0007047000108286738
validation,zero_blocks_75,zero_blocks_75.bin,fixed_zero_gaps,256,32768,32777,1.000274658203125,0.47807599999941885,1.9299914129078388e-05
test,all_one,all_one.bin,oracle,256,32768,653,0.019927978515625,0.24914039997383952,0.0011977000394836068
test,all_one,all_one.bin,deterministic,256,32768,653,0.019927978515625,0.09017979993950576,0.0007531000301241875
test,all_one,all_one.bin,fixed_raw,256,32768,32777,1.000274658203125,0.0007155999774113297,1.0300078429281712e-05
test,all_one,all_one.bin,fixed_zero,256,32768,32777,1.000274658203125,0.0004760000156238675,6.199930794537067e-06
test,all_one,all_one.bin,fixed_zero_trim,256,32768,32777,1.000274658203125,0.0009572000708431005,5.499925464391708e-06
test,all_one,all_one.bin,fixed_one_gaps,256,32768,32777,1.000274658203125,0.43219009996391833,1.5700003132224083e-05
test,all_one,all_one.bin,fixed_zero_gaps,256,32768,653,0.019927978515625,0.06860520003829151,0.0011569999624043703
test,all_zero,all_zero.bin,oracle,256,32768,525,0.016021728515625,0.23634039994794875,0.0007921999786049128
test,all_zero,all_zero.bin,deterministic,256,32768,525,0.016021728515625,0.033080500084906816,0.00038320000749081373
